id,option,device_id,created_at,voted_at
90fbc89b-95ed-479b-83f3-8d9103f06559,4,3afffbac-1d51-4e56-965b-1d6c9549100d,"2026-05-06 12:26:12.023052+00",
3f958e33-667d-4679-91fe-ea4b901f4b63,1,3afffbac-1d51-4e56-965b-1d6c9549100d,"2026-05-06 12:27:28.934427+00",
ddb1909a-0e62-4ff6-89ef-34530fbca828,1,3afffbac-1d51-4e56-965b-1d6c9549100d,"2026-05-06 12:28:32.811284+00",
9c099407-017c-4c76-ac55-d5d64b499d72,3,3afffbac-1d51-4e56-965b-1d6c9549100d,"2026-05-06 12:39:00.876561+00",
59d04e4b-50d5-4689-8552-c95ff2e51db0,2,3afffbac-1d51-4e56-965b-1d6c9549100d,"2026-05-06 12:40:35.494036+00",
908cbc9d-332f-4681-8656-e42430543d1e,2,f2b58c08-0243-4d20-a688-dae867c4e80e,"2026-05-06 12:54:17.689672+00",
c21634a4-f9b8-4f45-b482-3e5163380dc0,2,f2b58c08-0243-4d20-a688-dae867c4e80e,"2026-05-06 12:54:42.375935+00",
772bfb48-179c-4424-b7d3-707eac924e1b,2,f2b58c08-0243-4d20-a688-dae867c4e80e,"2026-05-06 13:00:58.149841+00",
7b5cd5b7-ac0d-4b8d-886e-793019e8386b,3,f2b58c08-0243-4d20-a688-dae867c4e80e,"2026-05-06 13:21:40.980573+00",
9c244605-bbc4-421d-a255-2b1df3ad19ae,1,f2b58c08-0243-4d20-a688-dae867c4e80e,"2026-05-06 13:22:46.805668+00",
98320158-4620-4373-a0a7-fad52bb986f4,3,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 13:35:49.316328+00",
14bf4eca-4cfc-4dcf-abd0-61f11769c974,2,7024c933-de2e-4db7-80bd-06af7064369f,"2026-05-06 13:36:44.24523+00",
eceea913-9d93-4c4a-ae6b-6936e2e20bb7,2,7024c933-de2e-4db7-80bd-06af7064369f,"2026-05-06 13:37:38.356+00",
6f52c626-1675-466d-a58d-6371eb92d5f3,4,7024c933-de2e-4db7-80bd-06af7064369f,"2026-05-06 13:38:00.271771+00",
01494ada-3e10-4607-b203-7855cdc6f87c,4,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 13:38:46.002148+00",
e28906cc-6ed5-47f2-a500-9acf63f6da3e,3,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 13:39:07.795627+00",
a28d1efd-aa78-4102-9ba5-d57645023143,2,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 13:55:49.429615+00",
372b3eab-c2fa-4e7e-8e26-fe6b51831b6e,3,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 15:35:23.293698+00",
a617266e-e740-495e-a01e-58a4f644e7eb,1,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 15:43:11.688568+00",
c53be326-6203-4550-93f5-259fa58fd328,2,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 15:43:12.245417+00",
2bc5d590-202e-4713-bcff-eb74dcd680cd,4,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 15:43:32.797366+00",
7806b8de-6db6-4bcd-b224-3f534b99d8b1,4,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 15:43:34.094321+00",
de362591-4d1f-4f7d-af2e-ff152bfae828,1,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 15:43:54.888896+00",
725ab1e3-c7b0-47d3-9a57-511eb71cf7bd,1,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 15:43:56.487422+00",
ae352f76-a1bb-4a33-86a3-2f507bd421e1,1,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 15:44:20.803226+00",
818bf641-08b9-4fa1-b1da-0b02b92f0718,2,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 15:44:23.119244+00",
002c566f-929c-42bb-85e4-b23a0f36d23d,4,2608a7ae-b020-4eb7-a1ed-93f63c24eae1,"2026-05-06 15:44:45.853471+00",
680afa7f-9009-4146-b53d-0421b0644e4e,2,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-06 15:44:48.833693+00",
1280cb0f-94b6-4b90-9437-b115391b2940,1,9dc65d80-0236-499d-a617-ca32e11d9f76,"2026-05-07 09:51:59.398038+00",
dd32820c-4fcb-4c7d-97ba-91d83e6592b2,1,020f3c24-3a9f-4b60-ac9c-09d08f28b2c9,"2026-05-11 15:15:13.907822+00",
8243bdad-d82f-4dd6-affb-bcd2c227f6fe,1,53ec18a9-7b8e-4b1c-8fae-e7fd0e588821,"2026-05-11 18:06:13.271703+00",
2c775041-a577-4fe1-99c2-2550b3247136,2,fbccb208-29f4-4730-aa54-8d18b22ae195,"2026-05-11 18:20:20.485177+00",
21a60c56-e923-4e49-9272-7d66b08d6466,1,53ec18a9-7b8e-4b1c-8fae-e7fd0e588821,"2026-05-11 18:21:57.665238+00",
ae2a684c-b346-4f1d-85d0-79e040dc7254,1,53ec18a9-7b8e-4b1c-8fae-e7fd0e588821,"2026-05-11 18:23:40.14271+00",
542fc2bd-adf4-4608-b0b7-b7dfd7a9534d,1,53ec18a9-7b8e-4b1c-8fae-e7fd0e588821,"2026-05-11 18:24:36.668186+00",
0aa72a4c-2acb-408a-a1dd-d2bc7d0516c1,1,fbccb208-29f4-4730-aa54-8d18b22ae195,"2026-05-11 18:26:39.448424+00",
4b67674d-9737-48a0-a2f2-29d99e16d611,1,fbccb208-29f4-4730-aa54-8d18b22ae195,"2026-05-11 18:27:02.439893+00",
3b00343a-9243-4e5a-b378-f1193ffeac4d,2,53ec18a9-7b8e-4b1c-8fae-e7fd0e588821,"2026-05-11 18:28:04.51817+00",
6e788041-7607-4d38-a15a-f79540852cb6,2,50ad1c79-800f-48e6-a5de-4d2129088133,"2026-05-11 18:29:46.439104+00",
73c55bf6-0b2e-4e64-a66f-bd65645ab27b,1,fbccb208-29f4-4730-aa54-8d18b22ae195,"2026-05-11 18:30:05.366278+00",
ec1a29d5-e5dc-4bd9-81f7-20bcd92a5bfe,2,7024c933-de2e-4db7-80bd-06af7064369f,"2026-05-11 19:06:52.138231+00",
